Outbound?, Number, Time, Body
1,156,2019-12-20 11:53:58.472916,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,157,2019-12-20 11:53:58.569546,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,158,2019-12-20 11:53:58.714564,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,159,2019-12-20 11:53:58.879152,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,160,2019-12-20 11:53:58.974941,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,161,2019-12-20 11:53:59.128690,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,162,2019-12-20 11:53:59.251683,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,163,2019-12-20 11:53:59.391478,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,164,2019-12-20 11:53:59.529996,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,165,2019-12-20 11:53:59.642805,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,166,2019-12-20 11:53:59.784186,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,167,2019-12-20 11:53:59.935181,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,168,2019-12-20 11:54:00.072297,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,169,2019-12-20 11:54:00.180594,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,170,2019-12-20 11:54:00.318384,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,171,2019-12-20 11:54:00.450803,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
1,172,2019-12-20 11:54:00.549870,Your number was randomly selected for an automated poll. Have you personally been winning more since President Trump's election in 2016? Please Respond YES or NO
